new number,speaker,content
188,C.T.,"I need to understand Is their a difference between the two cell on TxB P.141? for Fig. 19.5, TxB P.156-7 gives the Cu and Mg as a redox pair, but Mg and H is a redox pair in Fig. 19.4...I am starting to get really mixed up."
189,i.l.,My Theory It is obvious that Figures in p.141 & 156 are the same. What difference did you observe between them ?? You suggest that Mg and H is a redox pair as both Mg & Cu electrode are immersed in the same CuSO4 solution. Would you further elaborate the redox pair of Mg & H ?? I can't follow your suggestion here ??
190,i.l.,Observation I wonder why the apple turns brown after a while. I need to understand Is it an example of redox ?? How do you understand the redox concepts ?? 
191,K.K.,"My Theory I do not agree with Cherry that there are two redox pairs: Mg and H; Mg and Cu Mg and H pair: Mg metal can react with the acid in the juice to form Mg2+. (Chapter 13) Mg loses electron to form Mg2+. H+ in the juice gain electron to form H2. Therefore Mg and H is a redox pair. Chemical equation Mg(s)+ 2H+(aq) --> Mg2+(aq)+ H2(g) Mg and Cu pair: This juice cell is in fact similar to the fruit cell we made in our experiment. One group actually squeezed the juice out in order to make more cell. What they did is the same with this experiment. However, there is no Cu2+ ions in the fruit juice, which is different from the simple chemical cell in fig.19.4 (bk1B p.141). Therefore Mg and Cu is not a redox pair. "
192,C.T.,What I think before Redox in the external circuit depends on what metals are used. What I think now The redox reaction in a circuit depends on what electrolyte is used.
193,H.N.,"I need to understand Is this reaction a kind of redox reaction? If it is, then is rusting also a kind of redox reaction? I think they are very similar reactions."
194,R.C.,I need to understand What was left after lighting the match?
195,D.L.,My Theory Browning of apple is an example of redox. Fresh cut apples turn brown when iron-containing chemicals inside apple cell react with oxygen in the air. Polyphenol oxidase in the apple regulates the oxidation with the oxygen in the air. 
196,i.l.,I need to understand How is chlorine bleach produced in the society ? Will the proocess involve redox again ??
197,C.T.,"New information When metals change their appearance from a shiny to a dull colour, they are tarnished. Tarnish is a discolouration (usually dull, grey or black film or coat over metal) caused by the reaction between the metal and oxygen. It is a layer of corrosion that forms over copper, brass, silver, aluminium and other semi-reactive metals. Tarnish is similar to rust but has a slower rate of occurrence. It can be removed by washing and polishing. However, if you leave any detergent or polish on the surface of the metal, it attracts moisture, leading to a far worse problem- corrosion. Also, tarnish is not damaging- it is not dirt, and it does not penetrate the surface of metal."
198,i.l.,I need to understand I agree with you that metals undergo corrosion under suitable conditions ! I wonder how silver undergoes corrosion (silver tarnish). You may see that silver cup or medal becomes dull after some time. Is the process an example of redox ?? How you do you explain this phenomenon ??
199,C.T.,"The gas we use in gas cookers and Bunsen burners is called natural gas, or methane CH4. Chemical equation The combustion of methane: CH4 + 2O2 --> CO2 + 2H2O + energy *Incomplete combustions occurr when not enough air is provided when the air hole of bunsen burners is open, water and carbon dioxide are formed (complete). When the air hole is half-open, water and carbon monoxide are formed. 2CH4 + 3O2 --> 2CO + 4H2O + energy When it is closed, the flame is yellow, water and carbon are formed. If we put a white tile over the flame, we see black spote that is carbon in the form of soot(îÅäD) CH4 + O2 --> C + 2H2O + energy ** The samll dust-like particles of soot become very hot in the flame. They glow like thousands of miniature lamps, making the flame yellow and luminous. This is how candles, oil lamps and lanterns make light by burning a fuel. ***Gas fires and gas central heating boilers use methane as fuel. We sometimes see water produced in combustions as steam. But if there is too little air, the flame contain carbon monoxide gas which is poisonous and has no smell, and is yellow with glowing carbon. ****Vehicle fuels are hydrocarbons (e.g. methane, contain hydrogen and carbon only) never completely burnt. Carbon dioxide, carbon monoxide, oxides of nitrogen made form burnt nitrogen, water and sometimes soot are formed. Most of these substances are harmful pollutants in our air. We see the water as steam from a car's exhaust on a cold day. A bit long, but thanks for reading till the end. "
200,C.T.,"New information Match heads contain a mixture of chemicals. They use the reaction between sulphur and phosphorous and potassium chlorate as an oxidizing agent. Friction when we strike a match makes the oxidizing agent release oxygen. The sulphur and phosphorous burn in the oxygen, giving out a lot of heat. The heat form the friction, the wood in the match and oxygen in the air make a fire triangle, so the match burns. "
201,K.K.,"My Theory An example of redox reaction is the burning of hydrocarbons. Hydrocarbons are now commonly used toÅ@produce electrical and heat energy, as it only releases one carbon dioxide (CO2) for two waterÅ@molecules (H2O), and is considered as the cleanest fuel. All hydrocarbon combustion reactions produceÅ@carbon dioxide and water. Chemical equation Combustion reaction of Methane-CH4 CH4 + 2O2 -> 2H2O + CO2 CH4 acts as the reducing agent while O2 acts as oxidizing agent. As there is both reduction and oxidization, it is considered a redox reaction. Combustion reaction of Petrol-C8H18 C8H18 + 12.5O2 -> 9H20 + 8CO2 C8H18 acts as the reducing agent while O2 acts as oxidizing agent. As there is both reduction and oxidization, it is considered a redox reaction. "
202,i.l.,"My Theory I agree with you that combustion of petrol or hydrocarbon is redox. ""Combustion reaction of Petrol-C8H18 C8H18 + 12.5O2 -> 9H20 + 8CO2 "" 1 burning of hydrocarbons I wonder whether photosynthesis is a redox process. It seems to me that CO2 and H2O combine to give glucose and O2. The process is reversed to combustion. Am I correct ?? What do you think about my suggestion ??"
203,K.W.,Working principle Burning of coal is a redox reaction. C is oxidised to C+4 ions in CO2 whereas O2 is getting reduced to O2- ions in CO2. Chemical equation C + O2 Õ CO2
204,K.W.,"Observation Thermit reaction is done by carefully mixing a measured amount of dry iron(III) oxide powder with another measured amount of aluminium powder. This mixture is ignited, usually by a piece of magnesium ribbon and some magnesioum powder. The magnesium burns with enough heat to initiate the reaction. The reaction proceeds with lots of sparks and flames and leaves behind a lump of molten iron metal. Working principle The reaction is a redox reaction. the iron is reduced and the aluminium is oxidised. Heat is produced in the reaction, it is exothermic. This is because aluminium is a more reactive metal than iron, it prefers to be bound to other elements so energy is released when it reacts with iron oxide. Chemical equation Fe2O3 + 2Al --> Al2O3 + 2Fe New information IN our daily life, thermit reacion is used to weld sections of steel together in-place. For example, the mixture can be placed between sections of railway track and ignited, welding the tracks toegther. "
205,S.K.,"People use bleach agent to remove color from substances such as textiles, they they are usually oxidizing agent such as sodium hypochlorite (NaOCl) or hydrogen peroxide (H2O2). They decolourize textiles by reducing electron that are activated by visible light to produce different colours. The hypochlorite ion (OCl-) which is found in many commercial peparation is reduced to chloride ions and hydroxide ions forming a basic solution as it accepts electron from the coloured material. OCl- + 2e- + HOH --------> Cl- + 2 OH-"
206,J.W.,"I think it is an example of redox reaction because during the reaction, magnesium is oxidized to magnesium oxide while carbon dioxide is reduced to carbon. Chemical equation 2Mg(s)+CO2(g)-->2MgO(s)+C(s)"
207,J.W.,"I think copper turns back to copper(II)oxide as black colour because when nitrogen is removed, the pure copper eventually reacts with oxygen around it and turns back to copper(II) oxide as black colour. But I am not too sure of it."
208,J.W.,"I think it is an example of redox reaction because copper oxidized to form copper(II)oxide. And hydrogen acts as a reducing agent. When hydrogen blows over copper(II)oxide, the dark colour of the copper(II)oxide disappears and causes pure copper to be formed again."
209,G.L.,"My Theory Photosynthesis is a redox reaction. It invloves the reduction of CO2 into glucose and the oxidation of H2O into molecular O2. Chemical equation 6 CO2 + 6 H2O + light energy Å® C6H12O6 + 6 O2 New information The reverse reaction of photosynthesis, respiration, which is similar to combustion, is also a redox reaction. Glucose is oxidized to CO2 and H2O. Chemical equation C6H12O6 + 6 O2 Å® 6 CO2 + 6 H2O"
210,T.C.,New information The production of compact discs is an example of redox reaction. Redox reaciton coats the disc with a thin layer of metal film. 
211,S.T.,Fresh potatoes contain water which contain more mobile ions.
212,M.H.,"I think the reaction between magnesium and carbon dioxide is an example of redox reaction. During the reaction, magnesium oxidizes into magnesium oxide and carbon dioxide reduces into carbon."
213,J.K.,"My Theory Yes, it is a redox reation. When copper metal is heated, copper (II) oxide is formed. When hydrogen is blowing out from the funnel, the hydrogen then oxidized into hydrogen ion and give out electron. The copper (II) ions gains electron and reduced back to pure copper metal. Reducing agent: hygrogen gas Oxidizing agent: Copper (II) ions Half equation of the oxidation of the hydrogen gas: H2(g) Å® 2H+(g) + 2e- alf equation of the reduction of the copper ion: Cu2+(s) + 2e- Å® Cu(s) Overall equation for redox reaction: H2(g) + Cu2+(s) Å® Cu(s) + 2H+(g)"
214,M.H.,"I think the reaction between copper and hydrogen is an example of redox reaction. When copper was heated, it oxidized into copper(II) oxide. And when hydrogen was blown over the copper(II) oxide, the black colour(copper(II) oxide) disappears. The oxidizing agent is the copper(II) ions while the reducing agent is the hydrogen gas."
215,K.C.,I need to understand I wonder what kind of juice is used. Will different kinds of juice affect the result. 
216,M.H.,"Observation It is a galvanic cell. positive electrode: Cu negative electrode: Mg My Theory I think it is a redox reaction. Magnesium strip loses two electron to become Mg2+ ions. Therefore, it undergoes oxidation. Mg -> Mg2+ + 2e- Hydrogen ions in the juice gains electron to become hydrogen gas. Therefore, it undergoes reduction. 2H+ + 2e- -> H2 Chemical equation Mg + 2H+ -> Mg2+ + H2"
217,C.T.,"New information What Causes Silver To Tarnish? The presence of Hydrogen Sulfide (H2S) in any material that silver comes into contact with, is one of the prime reasons for silver tarnish. Sulfur containing materials generally cause silver to tarnish and Hydrogen Sulfide is just one of these. Materials like wool, rubber bands, fuels derived from fossils, a few types of paints and rubber (latex) gloves are some of the common materials that cause tarnishing of silver. Certain foods like eggs and onions also hasten the silver tarnish process. You can therefore realize that, touching silver jewelry with oily hands or after a meal could also stain your silver jewelry with tarnish. The extent and speed with which your silver jewelry tarnishes is also related to the climate and in general, high humidity would result in silver tarnishing much faster. Chemical equation This equation is copied from the net: H2S Å® HSÅ| + H+ And this is my guess, but I'm not sure H2S + 2Ag --> Ag2S (silver sulfide i.e. silver tarnish) + H2 "
218,K.C.,I need to understand What kind of metal is used as the thin layer of metal film? And what is the chemical reaction for this redox reaction?
219,K.C.,"Observation From unit 9/10 of book 1A, we've learnt that some ores such as Haematite(iron III oxide) are heated with carbon in order to extract iron metal. Chemical equation 2Fe2O3+3C--> 4Fe+3CO2 My Theory Redox reaction is involved in this extraction method. "
220,M.H.,New information Corrosion of metals (rusting) is also a daily example of redox reaction. Most metals react with oxygen to form compounds which are oxides. For example the rusting of iron. Chemical equation 4Fe + 3O2 -> 2Fe2O3
221,M.H.,"New information Decay is also a daily example of redox reaction in daily lives. When a plant or animal dies, the organic compunds in the plant or the animal begin to react with oxygen. It is a slow reaction. Chemical equation CxHyOz + O2 Å® CO2 + H2O"
222,J.W.,"The starting power for automobiles is provided by the lead storage battery. The standard 12-volt lead storage battery consists of six galvanic cell connected together in series. Each cell is able to generate 2-volt. At one electrode, lead metal gives up electron. At the other electrode, lead dioxide gains electron. Glass fiber spacers are used to separate electrode (preventing them from touching each other). The electrode are immersed in a 38% H2SO4 solution. Discharge: Pb(s) + SO4 2-(aq) _ PbSO4(s) + 2e- PbO2(s) + 4H+(aq) + SO42-(aq) + 2e- _ PbSO4(s) +2H2O(l) -------------------------------------------------------- PbO2(s) + Pb(s) + 2H2SO4(aq) _ 2PbSO4(s) + 2H2O(l)"
223,C.M.,Chemical equation 2NaCl + 2H2O --> Cl2 + 2NaOH + H2 oxidation: the ox no of Cl increases from -1 to 0 reduction: the ox no of H2 decreases from +1 to 0 This is a redox reaction
224,C.M.,"I play flute and we use the silver polish (fluid or cloth) to cleam our flutes. But though some of the flutes were not silver, after using the silver polish the flutes shines more brightly. I need to understand does silver polish also can polish other metals?"
225,T.L.,"I need to understand I would like to ask, as silver reacts with sulphur when tarnishing to form sulphide, will the mass of the silver thing change? Will it become heavier? Also, I would like to know the principle behind the physical means(sth like using the 'cloth')to make the silver bright again, and will it affect the mass of the object again(if it will remove some of the silver?)? "
226,C.T.,"Catechol oxidase is an enzyme that catalyzes the production of benzoquinone(the brown substance) and water from catechol: Chemical equation catechol oxidase 2 catechol + O2 ------------------------>2 benzoquinone + 2 H2O (substrate) (enzyme in potato extract) (product) This is an oxidation reaction, with catechol and oxygen as the substrates. Catechol and catechol oxidase are present in the cell of many plants, although in undamaged tissue they are separated in different compartments of the cell. Injury causes mixing of the substrate and enzyme, producing benzoquinone, a brown substance(C6H4O2). YouÅfve probably noticed the brown coloration of a damaged apple or the blackening of an injured potato tuber. Benzoquinone inhibits the growth of certain microorganisms that cause rot. Chemical equation (how to share -2 in 6 C? each C gets -1/3 charge???) -2? +4-2 0 0+4-4 +2-2 2 C6H4(OH)2 + O2 -->2 C6H4O2 + 2 H2O (catechol) (benzoquinone)"
227,M.L.,"My Theory When silver tarnishes, it combines with sulphur and forms silver sulphide. Silver sulphide is black. When a thin coating of silver sulphide forms on the surface of silver, it darkens the silver. The silver can be returned to its former luster by removing the silver sulfide coating from the surface.  Chemical equation Ag2o+ H2S -->Ag2S+H2O This is not a redox reaction since there is no changes in oxidation munber, is it?"
228,C.T.,I think it actually becomes lighter? †clip_image002.jpg(before) clip_image003.jpg(after) source: http://www.youtube.com/watch?v=aPnx1GHskAY&feature=related
229,E.M.,"I also think that the mass will become lighter, as the oxide is removed."
230,T.C.,"A thin layer of aluminum or, more rarely, gold is applied to the surface to make it reflective, and is protected by a film of lacquer that is normally spin coated directly on top of the reflective layer. 1 what is that thin layer of metal"
231,E.M.,I need to understand Why is it an redox reaction? How is the reaction occuring?
232,S.F.,"New information we can use the changes in oxidation number to show that rusting is a redox reaction. Chemical equation 4Fe(s)+3O2(g)+2nH2O(l)->2Fe2O3ÅDnH2O(s) The oxidation number of iron increase from 0 to +3. Iron undergo oxidation The oxidation number of oxygen decrease from 0 to -2. Oxygen undergo reduction. Putting our knowledge together We can see in the equation that the presence of water and oxygen are the only factor causes rusting. Therefore, people get to know the method to prevent rusting. It is to protect the metal from water and oxygen."
233,E.M.,"In industries, the way of extracting some metals (such as zinc, lead and mervury) are applying redox reaction. The extraction consists of two stages 1) heating metal sulphide in air to form oxides 2) heating metal oxide with carbon Let's take zinc as an example. Chemical equation for the first stage 2ZnS(s) + 3O2(g) --> 2ZnO(s) + 2SO2(g) the oxidation number for oxygen is 0 at the beginning and it turned to -2 in zinc oxide. There is a reduction. The oxidaion number for sulphide in ZnS is -2 at the beginning and it increased to +4 in So2. It is oxidation. Therefore, the first stage of reaction is a redox reaction. The oxidation agent is zinc sulphide and the reducing agent is oxygen. Chemical equation for the second stage 2ZnO(s) + C(s) --> 2Zn(s) + CO2(g) The oxidation number for Zinc in zinc oxide is +2 and it was reduced to 0 in zinc metal. Reduction has been carried out. The oxidation number for carbon is initially 0 and it was increaded to +4 in carbon dioxide. Oxidation has been carried out. Therefore, the second stage of reaction is also a redox reaction. The oxidation agent is zinc oxide and the reduction agent is carbon. Both reactions are redox reactions. Therefore, the extraction of some metals are applying the principle of redox reaction."
234,R.N.,"My Theory The white solid in the container is lead(II)bromide, when it was heated, it melted and turned into its molten state, to act as the electrolyte. It was then decomposed by elcetricity during the conduction. The filter paper is to test for the presence of brown gas of bromine vapour. The silvery solid formed in the end was lead metal. Working principle When lead(II)bromide turned into its molten state, it acted as electrolyte, it was then decomposed by electricity. The negative bromide ions were attracted the the anode and the positive lead(II)ions were attracted to the cathode."
235,C.W.,"At the anode, oxidation of lead (II) bromide occurs. Chemical equation 2Br-(aq) Å®Br2 (g)+ 2e- At the cathode, reduction occurs. Chemical equation Pb2+(aq) +2e- Å®2Pb(s)"
236,G.L.,"At the anode, oxidation of lead (II) bromide occurs. Chemical equation 2Br-(aq) Å®Br2 (g)+ 2e- At the cathode, reduction occurs. Chemical equation Pb2+(aq) +2e- Å®2Pb(s)"
237,H.N.,"My Theory Firstly, the the white solid which is the lead(II) bromide was heated to chenge into molten state. Then, the molten solution is undergone electrolysis. Bromine gas and lead metal are formed. Bromine gas is tested by the filter paper soaked with lead(II) ethanoate solution which changes from white to black. The silvery metal formed is lead."
238,C.T.,"My Theory what happens and chemistry involved white solid heated to molten state so as to allow electrocity to pass through. Electrolysis is not possible with solid lead(II) bromide. This is because the ions are held in a three-dimensional lattice, unable to move freely to the electrode. Melting enables the ions to become mobile and to travel to the respective electrode. Electricity is then passed through the solution to allow electrolysis, so lead II bromide decompose to form bromine, whose prescence is detached by a filter paper soaked with lead (II) ethanoic acid, and lead. Bromine is being evolved from the anode, and that no gas is evolved from the cathode. At the cathode (-) molten lead is formed: Pb2+(l) + 2e- Å® Pb(l) At the anode, gaseous bromine is evolved: 2Br-(l) Å® Br2(g) + 2e- The filter paper (lead(II) solution) darkened with the To conclude, conduction is only possible where lead(II) bromide is molten, and that metallic lead and bromine are the products of electrolysis of the molten electrolyte. As something extra, Lead(II) bromide is used because it melts at an unusually low temperature for an ionic compound (373 ÅãC). Lead can be fairly safely handled afterwards (taking care to ensure that hands are washed after any contact with the metal). Bromine is a coloured acidic gas with a characteristic smell. And the electrolysis of molten salts is not as complicated as in aqueous solutions, because the electrolysis products of water are not an issue."
239,S.T.,"Observation Through the process of electrolysis, as observed in the movie clip, a positive reading shown in the ammeter, the white solid (lead (II) bromide) decomposes to form brown gas (bromine)and finally a silvery product (lead metal) is produced. The presence of bromine gas is shown by the turning of colour of the filter paper soaked with lead (II)ethanoate from white to black."
240,J.L.,"Observation brown gas and silvery liquid formed, current is 2.7A My Theory bromide ions are oxidized to bromine gas. The oxidation no. changes from -1 to 0 Chemical equation 2Br-(l) --> Br(g) + 2e- Lead(II)ions are reduced to lead metal. The oxidation no. changes from +2 to 0 Chemical equation Pb2+(l) + 2e- --> Pb(s) Therefore it is also a redox reaction. "
241,K.K.,"Observation brown gas and silvery liquid formed, current is 2.7A My Theory bromide ions are oxidized to bromine gas. The oxidation no. changes from -1 to 0 Chemical equation 2Br-(l) --> Br(g) + 2e- Lead(II)ions are reduced to lead metal. The oxidation no. changes from +2 to 0 Chemical equation Pb2+(l) + 2e- --> Pb(s) Therefore it is also a redox reaction. "
242,K.H.,"My Theory The lead(II)bromide firstly was heated and melted to form liquid lead(II)bromide in the container.It was decomposed by electricity to form Lead and bromide gas. The filter paper soaked with lead ethanoate in the experiment is to test for the pressence of bromide in the brown gas. The silvery solid formed is lead. The anode will attract negative ion which is the bromide, while the cathode attracts the positive ion,lead. Oxidation occur in the anode,while the reduction occur in the cathode."
243,A.L.,"The Lead(II) Bromide: At the cathode (-) molten lead is formed: Pb2+(l) + 2e- Å® Pb(l) At the anode,bromine gas is evolved: 2Br-(l) Å® Br2(g) + 2e- We can see the brown gas and that is Bromine. While the silvery liquid is lead. New information the experiment should carry out be in a fume cupboar as highly toxic bromine vapour is produced. "
244,S.L.,"The Lead(II) Bromide: At the cathode (-) molten lead is formed: Pb2+(l) + 2e- Å® Pb(l) At the anode,bromine gas is evolved: 2Br-(l) Å® Br2(g) + 2e- We can see the brown gas and that is Bromine. While the silvery liquid is lead. New information the experiment should carry out be in a fume cupboar as highly toxic bromine vapour is produced. "
245,T.L.,"Firstly, the lead(II) bromide melts to form molten lead(II) bromide. Electricity is then passed into the solution. Brown gas which turns a filter paper soaked with lead(II) ethanoate black can be seen and finally there will be a silvery solid. My Theory In this setup of electrolysis. Lead(II) bromide(melted) is the electrolyte in the setup. It contains lead(II) ions and bromide ions. When electricity is pass into the solution, oxidation occured at the anode and bromide ions changed to bromine and is heated until it became a gas and was tested.Reduction occurs at the cathode and lead(II) ions is changed to lead metal in molten state when it loses electron to the setup(the silvery substance poured out in the last few seconds) Chemical equation In the anode: Br-(aq)->br(l)+e- "
246,C.M.,Observation After the Lead(II) bromide is being electrolysis <1>brown gas formed <2>silvery substance formed <3>when there is a filter paper (socked with Lead(II) solution) My Theory <1>brown gas = bromine gas oxidation: 2Br-(aq) --> Br2(g) + 2e- <2>silvery substance = Lead reduction: Pb2+(aq) + 2e- --> Pb(s) <3>the bromine gas reacts with the Pb2+ and formed black powder This is redox reaction oxidation: 2Br-(aq) --> Br2(g) + 2e- (Ox of Br : -1 to 0) reduction: Pb2+(aq) + 2e- --> Pb(s) (Ox of Pb : +2 to 0) overall redox reaction: 2Br-(aq) + Pb2+(aq) --> Br2(g) + Pb(s)
247,J.L.,"Observation Lead(ii) Bromide is initially white in colour. It is heated up and turns into moleten state which is brown in colour. Brown/ Reddish brown gas forms and after sometime only silver liqud is left in the container. The gas is bromine gas and the silver liquid is lead (II) in molten state In the process filter paper soaked in lead (II) enthanoate soloution and it has turned from while to gray/black, indicating the prescence of bromine. Also , the ammeter was turned on during the process, indicating that there is electricity involved"
248,R.K.,"Observation THe white lead(II)bromide turned into molten state during heating. During electricity pass through, brown gas is formed, which darkened the filter paper, which soaked with lead (II) bromide. My Theory I think the brown gas is bromine gas, because it react with the lead(II) solution and darkened it.And the silver substance is lead metal. Chemical equation Pb2+(aq) +2e- --> Pb(s) 2Br-(aq) --> Br2(g)+2e-"
249,V.Y.,"My Theory Chemical bleaches work in one of two ways: An oxidizing bleach works by breaking the chemical bonds that make up the chromophore. This changes the molecule into a different substance that either does not contain a chromophore, or contains a chromophore that does not absorb visible light. A reducing bleach works by converting double bonds in the chromophore into single bonds. This eliminates the ability of the chromophore to absorb visible light. Not all bleaches have an oxidizing nature. Sodium dithionite is used as a powerful reducing agent in some bleaching formulas. It is commonly used to bleach wood pulp used to make newsprint."
250,R.C.,"At the cathode, molten lead is formed: Pb2+(l) + 2e- Å® Pb(l) At the anode, gaseous bromine is evolved: 2Br-(l) Å® Br2(g) + 2e- Lead ions gain electron (reduction) to form lead atoms. Bromide ions lose electron (oxidation) to form bromine atoms. The bromine atoms combine to form molecules of bromine gas. The overall reaction is PbBr2(l) Å® Pb(s) + Br2(g)"
251,J.W.,"New information Inside the solid rocket boosters are ammonium perchlorate (NH4ClO4) and powdered aluminum, which undergo an oxidation-reduction reaction that gives the shuttle enormous amounts of extra thrust. As for the larger single external fuel tank, this contains the gases that power the rocket: hydrogen and oxygen.  Because these two are extremely explosive, they must be kept in separate compartments. When they react, they form water, of course, but in doing so, they also release vast quantities of energy. The chemical equation for this is: 2H2 + O2 Å®2H2O + energy. "
252,K.C.,I have heard people say that toothpaste and correction fluid can make silver shine again. However I am not quite sure about the working principle.
253,i.l.,I need to understand I agree with you that silver reacts with H2S to give silver tarnish. Where does H2S come from ? Can H2S be found in the atmosphere ??
254,K.K.,New information using oxidation no. to explain why photosynthesis and respiration are redox: Chemical equation C6H12O6 + 6O2 Å® 6CO2 + 6H2O 1 Photosynthesis and Respiration carbon in glucose oxidized to carbon in carbon dioxide oxidation no.: 0 --> +4 oxygen gas reduced to oxygen in carbon dioxide and water oxidation no.: 0 --> -2
255,i.l.,"I need to understand You have provided detailed explanations on redox of rusting. As I know it is a slow process, how this reaction can be applied in the hand warmer to be used in winter time ?? ""4Fe(s)+3O2(g)+2nH2O(l)->2Fe2O3ÅDnH2O(s) "" 1 rusting I found the infomation about its ingredients from the package."
256,i.l.,I need to understand It is good you tell us that car battery contains 6 chemical cell of 2V each to give 12 V in total. I wonder whether the 12 V car battery can be replaced by using 8 pieces of Zn-C cell (8 x 1.5 V = 12 V) in practice. Why or Why not ?
257,i.l.,Opinion You've got overall equation of the process ! Is there other similar examples that useful products are obtained from electrolysis in modern society ? 
258,i.l.,I need to understand I agree with your detailed and careful observations. I have three questions here. 1. Why do we heat the lead(II) bromide to become molten state ? 2. What chemical equations are involved here ? 3. What difference do you find about electrolysis and chemical cell learnt before ??
259,i.l.,I need to understand You make detailed observations and chemical equations here. I note that your equations have different state symbols from your classmates such as Kathryn. 1 Electrolysis of Lead (II) bromide Which one is the better representation ??
260,K.W.,"This experiment demonstrates that metallic lead and bromine are the products of electrolysis of the molten electrolyte. In the video, Lead: silver liquid (molten state) Bromine: brown gas (toxic) Chemical equation At the cathode (-) molten lead is formed: Pb2+(l) + 2e- Å® Pb(l) At the anode, gaseous bromine is evolved: 2Br-(l) Å® Br2(g) + 2e- "
261,i.l.,Observation Watch the video on electrolysis of water and record the observations. Explain the results. 
262,T.C.,"New information Instead of removing tarnish from silver, we can simply prevent silver tarnish. Firstly, we can wear cotton gloves as much as possible when handling your silver. Secondly, do not store or display your silver with other objects which contain sulphur. Thirdly, we can store our silver in an airtight container with a small sachet of activated charcoal."
263,K.K.,"I don't think that car battery can be replaced by Zn-C cell. In Zn-C cell, electron can be transfered directly from negative electrode to positive electrode. Voltage will fall rapidly. Therefore I think that it cannot be applied to cars."
264,i.l.,"I need to understand I agree with you that the voltage of Zn-C cell falls rapidly over time. How about the car battery is replaced by alkaline manganese cell, Ni-Cd cell or lithium battery if they provide 12 volts ??"
265,T.C.,"May I ask, what is chromophore and why is it needed to be make unable to absorb visible light? Is chromophore a important substance in the redox reaction? Will it affect the redox solution if it absorbs visible light?"
266,V.N.,"My Theory Lead (II) bromide powder is dissolved in water and is heated in a crucible by Bunsen flame. When all the lead (II) bromide melt, the current is adjusted to 2.4A. A brown gas is formed. It is bromine gas. And the silvery liquid is molten lead. "
267,V.N.,How can we know if bromide is presence in the brown gas?
268,G.L.,The presence of bromine gas is shown by the turning of colour of the filter paper soaked with lead (II)ethanoate from white to black.
269,E.M.,"The extraction of potassium, sodium, magnesium and other reactive metals are examples of use of electrolysis. Their extraction method is electrolysis of molten ore. "
270,T.C.,"Examples are: Production of aluminium, lithium, sodium, potassium, magnesium Production of chlorine and sodium hydroxide Production of sodium chlorate and potassium chlorate "
271,V.N.,Opinion I think the lead formed in the experiment is in molten form. So is it the state symbol of Pb should be (l) instead of (s)? And may I ask if anyone know why molten lead is formed instead of solid metal?  notice we don't come across sudstance in molten state much. Is there any significance between the formation of solid and that of molten metal? 
272,K.K.,"I think it should be (l) instead of (aq) as it is in molten state, not a solution."
273,T.C.,"Hydrogen gas and oxygen are produced in the cathode and in the anode respectively. New information When producing large quantities of hydrogen, the use of reactive metal electrode can significantly contaminate the electrolytic cell, that is why iron electrode are not usually used for commercial electrolysis. electrode made of stainless steel can be used because they will not react with the oxygen."
274,C.T.,"With similar procedeurs, could we make gold out of other metals? how?"
275,V.N.,But gold always exists as a free element. So is it possible to find a compound containing gold so we can electrolysis it?
276,G.L.,"New information There are gold chemical compounds. Gold is attacked by and dissolves in alkaline solutions of potassium or sodium cyanide, and gold cyanide is the electrolyte used in commercial electroplating of gold onto base metals and electroforming. Gold chloride (chloroauric acid) solutions are used to make colloidal gold by reduction with citrate or ascorbate ions. Gold chloride and gold oxide are used to make highly-valued cranberry or red-colored glass, which, like colloidal gold sols, contains evenly-sized spherical gold nanoparticles. My Theory As some of the compounds of gold are electrolyte, electrolysis can be carried out."
277,C.T.,"Trial 1: we used a whole orange as electrolyte, magnesium as -ve electrode and copper as +ve electrode. The coltage is about 1.3V Trial 2: We cut the orange into pieces and connected them in a circuit but we didn't connect the electrode in a - to + to - to +...way. The voltage was smaller than trial 1. So if the electrode were not coherent, the current is reduced. Trail 3: we cut the orange into pieces and connected each separate piece to the multimeter in a circuit of its own. like this. The voltage remains small. orange || (V)=orange || orange Trial 4: We queezed some orange juice as the electrolyte. The voltage was smaller than in trial 1 Trial 5: We tried to use lemons and connected them in a the same circuit in a - to + to - to +...way. The voltage increased. Trial 6: We tried to use potatoes pieces in the same way. The voltage further increased. Potato flesh is firmer than orag=nge or lemon flesh. So a larger(denser) contact surface facilitates the flow of ions and gives a higher voltage. /our highest voltage is about 3.5 V"
278,R.N.,"Trial 1: we used a whole orange as electrolyte, magnesium as -ve electrode and copper as +ve electrode. The coltage is about 1.3V Trial 2: We cut the orange into pieces and connected them in a circuit but we didn't connect the electrode in a - to + to - to +...way. The voltage was smaller than trial 1. So if the electrode were not coherent, the current is reduced. Trail 3: we cut the orange into pieces and connected each separate piece to the multimeter in a circuit of its own. like this. The voltage remains small. orange || (V)=orange || orange Trial 4: We queezed some orange juice as the electrolyte. The voltage was smaller than in trial 1 Trial 5: We tried to use lemons and connected them in a the same circuit in a - to + to - to +...way. The voltage increased. Trial 6: We tried to use potatoes pieces in the same way. The voltage further increased. Potato flesh is firmer than orag=nge or lemon flesh. So a larger(denser) contact surface facilitates the flow of ions and gives a higher voltage. /our highest voltage is about 3.5 V"
